NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Mês (Código),Mês
1,Brasil,30,Número-índice,0.0000001145671,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198308,agosto 1983
1,Brasil,30,Número-índice,0.0000001263682,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198309,setembro 1983
1,Brasil,30,Número-índice,0.0000001375727,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198310,outubro 1983
1,Brasil,30,Número-índice,0.0000001477314,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198311,novembro 1983
1,Brasil,30,Número-índice,0.0000001605502,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198312,dezembro 1983
1,Brasil,30,Número-índice,0.0000001760737,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198401,janeiro 1984
1,Brasil,30,Número-índice,0.0000001928020,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198402,fevereiro 1984
1,Brasil,30,Número-índice,0.0000002100357,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198403,março 1984
1,Brasil,30,Número-índice,0.0000002300794,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198404,abril 1984
1,Brasil,30,Número-índice,0.0000002509021,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198405,maio 1984
1,Brasil,30,Número-índice,0.0000002761935,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198406,junho 1984
1,Brasil,30,Número-índice,0.0000003030524,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198407,julho 1984
1,Brasil,30,Número-índice,0.0000003313854,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198408,agosto 1984
1,Brasil,30,Número-índice,0.0000003703168,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198409,setembro 1984
1,Brasil,30,Número-índice,0.0000004089675,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198410,outubro 1984
1,Brasil,30,Número-índice,0.0000004520168,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198411,novembro 1984
1,Brasil,30,Número-índice,0.0000005061559,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198412,dezembro 1984
1,Brasil,30,Número-índice,0.0000005656761,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198501,janeiro 1985
1,Brasil,30,Número-índice,0.0000006271382,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198502,fevereiro 1985
1,Brasil,30,Número-índice,0.0000006908698,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198503,março 1985
1,Brasil,30,Número-índice,0.0000007474889,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198504,abril 1985
1,Brasil,30,Número-índice,0.0000008012770,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198505,maio 1985
1,Brasil,30,Número-índice,0.0000008693369,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198506,junho 1985
1,Brasil,30,Número-índice,0.0000009589916,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198507,julho 1985
1,Brasil,30,Número-índice,0.0000010745459,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198508,agosto 1985
1,Brasil,30,Número-índice,0.0000011940075,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198509,setembro 1985
1,Brasil,30,Número-índice,0.0000013207687,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198510,outubro 1985
1,Brasil,30,Número-índice,0.0000015053189,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198511,novembro 1985
1,Brasil,30,Número-índice,0.0000017322163,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198512,dezembro 1985
1,Brasil,30,Número-índice,0.0000019811765,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198601,janeiro 1986
1,Brasil,30,Número-índice,0.0000022331080,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198602,fevereiro 1986
1,Brasil,30,Número-índice,0.0000023396314,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198603,março 1986
1,Brasil,30,Número-índice,0.0000023578806,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198604,abril 1986
1,Brasil,30,Número-índice,0.0000023908694,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198605,maio 1986
1,Brasil,30,Número-índice,0.0000024212846,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198606,junho 1986
1,Brasil,30,Número-índice,0.0000024626960,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198607,julho 1986
1,Brasil,30,Número-índice,0.0000025501983,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198608,agosto 1986
1,Brasil,30,Número-índice,0.0000025939494,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198609,setembro 1986
1,Brasil,30,Número-índice,0.0000026433156,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198610,outubro 1986
1,Brasil,30,Número-índice,0.0000027874369,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198611,novembro 1986
1,Brasil,30,Número-índice,0.0000031121777,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198612,dezembro 1986
1,Brasil,30,Número-índice,0.0000035232510,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198701,janeiro 1987
1,Brasil,30,Número-índice,0.0000039684829,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198702,fevereiro 1987
1,Brasil,30,Número-índice,0.0000046181985,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198703,março 1987
1,Brasil,30,Número-índice,0.0000055002395,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198704,abril 1987
1,Brasil,30,Número-índice,0.0000066801157,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198705,maio 1987
1,Brasil,30,Número-índice,0.0000079968603,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198706,junho 1987
1,Brasil,30,Número-índice,0.0000087333762,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198707,julho 1987
1,Brasil,30,Número-índice,0.0000091587212,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198708,agosto 1987
1,Brasil,30,Número-índice,0.0000098713730,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198709,setembro 1987
1,Brasil,30,Número-índice,0.0000109789545,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198710,outubro 1987
